label,Texas
"Count of Housing Unit: With Mortgage, 3,000 USD or More",2540456
"Count of Housing Unit: With Mortgage, 2,000 - 2,999 USD",410588
"Count of Housing Unit: With Mortgage, 800 - 1,499 USD",246932
"Count of Housing Unit: With Mortgage, 1,500 - 1,999 USD",182430
"Count of Housing Unit: With Mortgage, 800 USD or Less",174675
"Count of Housing Unit: With Mortgage, 0 USD",144435
