RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024
394451,728,"Centralia, IL",msa,IL,,,,,,,,,,,,,,74942.27254,74678.43771,74636.29417,74760.88675,75423.51509,75514.71278,74648.93766,73207.17108,72402.93616,72344.92148,72466.31079,72716.88709,72575.93808,72605.59039,72486.26041,72575.47562,72713.64678,72967.64913,73304.95966,73309.73341,73097.77162,73128.2831,73481.32801,73824.14092,73862.32074,74097.44729,74593.2749,74908.21867,74420.78653,73618.42269,72808.37337,72029.9888,70764.17862,69513.78959,68508.23323,68116.64339,67976.76259,67937.08999,68185.34662,68428.56842,68931.01982,68912.65595,68895.93633,68397.4652,68234.19879,68529.2986,69519.80595,71108.10173,72204.48724,73062.89102,74305.49345,75608.09306,76755.29132,76852.29872,77259.08826,78520.66992,79573.27134,80174.82984,79693.2765,79065.53827,79201.20897,80212.56306,81710.35311,83515.06796,85046.26189,86144.43145,86120.93048,85424.4643,84945.63563,84815.66385,85049.89776,86169.02949,87707.2294,89154.69342,89759.08821,90102.70085,90713.91489,91223.0473,91371.69239,91051.40335,91319.23832,91307.70179,91585.89583,91742.47007,92137.30515,92705.54969,93008.07799,93501.60445,93682.53063,94143.87959,94732.46368,95484.44534,95938.56111,96024.98123,95642.84092,94919.94752,94796.27888
394554,729,"Easton, MD",msa,MD,299231.642,299485.9364,299784.4,300351.8755,300796.2213,301854.7111,302727.9807,303412.0324,304303.6314,305793.0437,307327.554,308510.1285,309100.1864,309518.6716,309063.6544,308398.3423,307132.2862,306949.004,307256.6688,308213.1671,308789.7057,309249.771,310195.5375,311229.2673,312185.9694,312512.4212,313005.3051,313812.2396,314267.8409,314951.3783,315353.8083,316392.4646,316823.7052,317857.5825,318670.2645,319574.1829,319925.6666,320716.0526,322069.0227,323184.6476,323704.6425,323803.6994,324497.3274,325553.0682,326501.9568,326854.0193,326856.3875,326694.4509,326885.8585,327940.7241,329652.7097,331102.7933,331295.949,331307.44,331017.6394,331650.2737,332311.8546,333532.1071,334639.3244,335749.0267,336854.2291,337884.2351,338899.385,339594.2625,339451.1006,339130.5696,339612.8291,341672.5275,345573.9772,350746.724,356572.1756,362736.7925,368225.7186,374308.401,380574.6642,387663.3269,394581.8871,401249.9894,406230.6948,408820.314,409530.9448,410302.4047,412166.3931,415076.2304,419305.8098,424169.9667,430047.203,436061.6854,440983.0852,444420.4139,445654.266,445319.7747,443009.4309,440940.4377,439083.27,438133.2579,437355.5976,437509.1893,438920.871,441468.6715,444831.0911,447944.1456,450787.1415,453638.1532,455589.9685,456949.756,457887.7113,459304.7836,460251.5634,461288.0523
394948,730,"Owatonna, MN",msa,MN,144432.5189,144664.3472,145137.617,145820.5681,146608.6976,147320.975,147823.6946,148357.8448,148730.4231,149202.721,149642.1908,150412.2172,151195.3931,151762.3605,152007.7606,152441.6246,153077.9561,154054.3324,154972.9211,156025.8784,157163.0594,158383.4903,159595.3529,160860.2081,162040.3707,162889.9369,163414.6645,163960.0613,164629.7234,165430.279,166034.2846,166648.4037,167226.3329,168034.8881,169026.4142,169977.0523,170921.7973,171798.4665,172860.902,173662.8689,174405.0473,174955.9404,175826.7108,176799.2999,177860.9138,178601.4912,179364.4251,180144.077,181134.6102,182247.959,183416.0462,184397.5339,185078.1907,185797.8609,186611.9136,187482.1909,188085.7588,188622.5765,189368.8734,190055.994,190867.2487,191762.4937,192862.9341,193674.6071,194212.7099,194788.2257,195741.028,197157.7103,199467.2597,202444.7419,205816.819,208881.5214,211391.0217,213648.9542,216084.3687,219399.1594,223351.8266,227698.1704,231878.7673,235060.6761,237155.3547,238392.1147,239777.0428,241406.663,243895.6821,247045.639,250424.7419,253873.3376,256815.0992,259121.1085,259575.332,258330.2137,256504.1666,255376.3397,254692.6868,254045.1109,254031.1269,254511.6112,255618.1348,256522.0348,258136.9374,260066.3795,261667.1118,262844.3375,263712.5167,264554.44,265172.7791,265521.9528,266078.1506,267358.0084
394888,731,"Mount Vernon, IL",msa,IL,150678.3619,153063.9449,156336.3674,158825.9267,160712.7379,160872.4414,160333.0133,158549.1103,157927.4283,157799.8961,157613.5575,155517.1878,152876.1809,150238.8236,147885.1818,144755.155,141312.6237,137784.3401,134015.6453,129433.8037,123749.006,118453.0461,113665.7252,109780.0036,106177.2855,103399.9374,101366.3588,99677.77239,98596.38604,97682.05745,96719.06704,95657.71739,95350.42047,95328.32312,95357.67003,94897.69668,94441.42436,93570.51654,93158.38608,92671.8277,92508.10665,92006.07394,91600.31426,90706.148,89497.52056,88170.84775,87288.5574,87051.06318,86862.51764,86966.05732,87385.88881,88572.87679,89816.0405,91224.41484,92491.10174,93854.61216,94133.04251,94362.74466,95079.81436,96540.23821,96936.23149,96661.18138,96153.34556,97128.76402,97730.43302,97914.73676,97879.29401,98933.69664,100958.9339,101284.6816,100297.6151,97842.63183,96235.55377,95763.75911,95801.12746,95738.82386,95727.06493,96718.875,98108.71304,99033.19161,99094.26817,99397.61161,99769.17957,100034.5565,100699.6053,101838.574,103131.4477,103964.5449,104253.2086,104738.115,105076.1601,105103.2011,104957.0581,105599.2574,106748.3907,107594.4896,107999.3373,107482.725,107138.7374,106837.2504,107388.0939,107765.8856,107973.6103,107836.4991,107785.2704,107588.0047,107421.8034,107756.7307,108589.2596,110104.2688
394771,733,"Laramie, WY",msa,WY,218120.373,218879.4346,219551.9814,220716.8911,221765.9992,222677.9155,223173.1563,223784.0292,224531.1136,225556.5043,226214.5673,226469.283,226435.5802,226855.2092,227520.3928,228198.1259,228730.4133,229374.7365,229970.2433,230454.224,230818.6102,231978.9039,233506.4165,235319.0875,236644.398,237355.3798,237702.4266,237869.7886,237962.3501,237770.935,237351.291,236800.9471,236368.236,236136.6734,236327.961,236753.052,237226.1651,237337.0504,237384.4237,237284.4782,237360.669,237346.4167,238116.6479,239004.1189,240247.4554,241050.9399,242083.112,242999.2462,243723.2966,244292.921,244800.0238,245685.6428,246400.3744,247593.7024,248968.3214,251137.8279,253218.9294,255209.1558,256953.6096,258524.0367,259555.8946,260339.0729,261106.6625,262355.1268,263239.3599,263729.4814,264106.7466,265690.4599,268549.0444,271987.7898,275422.4201,278249.9632,280525.423,282910.4668,285894.0895,289392.7088,292647.5101,295546.2147,298296.6261,301065.6923,303677.5905,306334.688,309218.7372,312335.4893,316472.8068,320063.3866,324198.211,327827.5866,331529.3394,334872.1811,337595.472,339093.3527,339954.4784,341062.2132,342615.2816,343137.5914,343006.7198,342896.9388,343213.0584,343467.6201,344294.5032,345691.1709,347245.4753,349004.3829,350219.4756,350695.2289,349723.3763,348330.3675,347307.009,347212.4059
394894,734,"Murray, KY",msa,KY,36451.96835,36254.22542,36324.81075,36687.29436,37023.06183,37139.94387,37062.60533,37087.06336,37240.52777,37504.10059,37603.16318,37507.68842,37409.61656,37184.61529,37061.01015,36799.70734,36870.56541,37319.47853,37921.27847,38573.79684,38870.96693,39085.20519,39283.04676,39736.02642,40146.63487,40486.91485,40548.70037,40772.2977,40903.91858,41218.13036,41898.10694,42473.13888,43283.37818,43993.19365,44653.49566,45129.43243,45513.63031,46196.4572,47147.20379,47963.9374,48771.28474,49336.87327,49920.10151,50549.59914,51406.63705,52076.01884,52557.23479,52673.39696,52898.59909,52900.69975,52731.7411,52852.7645,52732.62385,52607.56421,52243.22459,51937.96585,51483.88383,51278.06206,51976.92215,53717.60415,56184.95764,58356.32519,60350.07455,61501.27493,62807.45408,63993.21843,65363.86754,66544.76933,68118.04201,69578.0662,71075.04294,72279.0466,73051.69784,73867.21061,74388.01403,74864.52925,75578.48268,76237.12071,77574.21474,79062.89125,80721.58842,82191.69107,82908.99747,82934.47048,82168.63481,81690.29639,81332.50496,82007.38831,83339.12025,85876.62448,88764.91887,91403.85027,93537.49685,95735.05004,97566.26347,97547.90404,94910.3942,91942.74725,90558.7878,91079.07592,92400.58045,93520.20564,93675.65071,92174.01585,90159.73438,88153.26649,87324.43245,86391.597,85305.30272,84103.5614
394617,735,"Fremont, NE",msa,NE,108819.2443,109287.8365,109803.4558,110328.0996,110711.0859,110964.7485,111183.5556,111678.7891,112230.2226,112974.6953,113478.27,114048.9107,114667.5784,115473.1292,116124.8677,116420.2603,116551.0136,116730.1626,116878.4848,117132.9063,117600.4279,118405.8776,119293.9627,120092.7366,120756.308,121232.2899,121854.2758,122617.7034,123616.1115,124707.0297,125970.2815,127111.2856,128300.2175,129576.1928,130998.611,132465.6394,134022.2718,135776.9837,137687.54,139344.4892,140671.63,141652.2704,142859.5229,143999.3711,145184.4097,145891.525,146551.1287,147193.2456,147877.929,148632.5023,149209.9785,149928.1467,150426.9085,150777.8278,150691.2842,150470.9443,150242.4322,150393.513,150937.1935,151613.666,152208.3204,152859.7127,153753.5408,154711.3334,155410.6337,155783.1733,156362.8344,157255.9658,158860.2514,160775.275,163084.8938,165239.1431,167281.9563,169548.1384,172212.1376,175011.4103,177804.4443,180335.4949,182385.8197,183580.5051,183870.7899,184099.588,185161.314,187064.5143,189939.1731,193488.078,197500.6829,200965.7314,203147.1157,204713.0276,206078.6999,206958.4993,206998.8015,206964.3867,206975.963,207270.9394,206625.7168,206597.8436,206820.9662,208085.2424,209728.6267,212066.6126,214179.5149,215341.9317,215453.4617,215364.2767,215491.6131,216160.555,217191.0591,218387.513
394382,736,"Bennington, VT",msa,VT,212113.4972,213087.754,214278.0491,215361.6078,216091.4934,216375.4288,216114.0395,215465.9856,214991.5459,214746.5261,213974.4322,213102.4356,212270.1038,211894.064,210901.8277,210164.522,209777.1061,210314.9295,210724.8418,211025.4768,211038.462,211010.0396,211037.8176,211499.6856,212368.7883,213351.5433,214577.8099,215798.7178,216642.4315,217440.3991,218353.8588,219708.0462,220831.2951,221928.573,223114.4914,223893.1432,224356.2288,224575.7325,225309.5998,226188.4433,226608.2892,226390.1039,226576.4581,227375.7922,228515.3989,228840.1869,228877.7832,228982.4206,229264.0048,229588.294,229794.0252,230155.5841,230125.4255,229808.9334,229557.8392,229864.6899,230467.5636,231449.1485,233008.9842,234856.2251,235968.4214,236132.2234,235733.8341,235517.9715,235383.1811,235537.0734,236103.3771,237990.1276,241843.1112,246170.3665,250169.7361,253649.6384,257288.7408,261456.3276,265256.2153,269235.5893,274804.0689,282176.2923,290964.2313,297018.5996,300327.3109,301404.2363,303481.1377,306319.0955,310785.3029,315912.0715,321540.7133,327382.2557,332578.6437,337129.5764,339402.6967,339197.2725,337866.4571,336762.8233,336837.8222,337016.7002,339573.3698,341470.0532,344511.9702,346366.7219,349370.928,351242.8666,352373.5577,354206.5151,356068.0105,356913.964,356420.4605,354795.796,353340.1275,352340.2994
395069,738,"Sault Ste. Marie, MI",msa,MI,110349.0949,110572.1904,110531.8235,110578.156,111233.2116,111716.4701,111793.6277,111336.1283,110644.4961,109816.9819,109001.8165,108051.7858,107705.6242,107543.5126,107946.698,108450.8062,108886.8899,108635.6276,106381.0729,103389.6187,100441.1275,98632.28096,97705.31859,97479.57936,97446.91629,96984.84943,96328.42865,95591.08984,95432.40276,95711.42876,96425.10656,97001.14854,97382.05187,97475.91024,96490.04688,94928.24237,93056.70524,91873.18152,91885.99444,92758.49062,94512.81957,96450.26634,99523.74838,101978.9362,103790.1444,104395.3098,105766.7035,107737.7323,109973.4799,112077.4642,113819.819,115169.9378,115794.3413,116130.9292,115776.4489,116119.2251,116809.1859,118087.6731,119173.6152,120005.5478,120324.2214,120690.3386,121763.0478,124160.164,126101.9652,126555.0463,126264.8692,126798.5519,129516.5254,131785.3915,133130.8706,132953.6343,133350.559,134389.6497,135232.2316,135817.6662,136867.0475,138528.0424,139462.5731,139401.6901,139017.1733,139540.0703,140956.9988,142661.6267,144826.7451,146604.9002,147909.3134,149130.778,149991.8871,150612.9599,150338.9777,149850.7498,149468.9319,149647.9286,150188.1002,151391.65,153094.6579,154030.6107,154780.3571,155518.0146,157234.0935,158284.6166,158329.3895,157130.2807,155551.1246,153940.1903,153450.5838,153301.1802,152998.0444,152615.4824
394436,739,"Campbellsville, KY",msa,KY,92586.19501,92702.76505,92988.84516,93442.03128,93664.43321,93779.55924,93815.16191,94170.64867,94433.98835,94656.77103,94700.03197,95053.0955,95780.22159,96618.79511,97093.68732,97377.31288,97782.73474,98483.1485,99088.35731,99596.26451,100095.1921,100802.9936,101607.1644,102388.7515,102946.2938,102858.8149,102845.1603,102962.5257,103431.5098,103649.7886,103770.1461,103948.8724,104571.8588,105161.566,105859.6122,106208.4172,106652.0217,107042.083,107534.5602,108049.2236,108394.5053,108838.3699,109072.2986,109400.6829,109651.5735,109662.3525,109539.4604,109194.6914,108785.9798,108243.1551,107832.8548,107580.0406,107693.0007,108004.8283,108651.9119,109191.8517,109570.8011,109907.0671,110296.0148,110729.5636,111211.3791,111976.195,113038.1506,114022.4168,114774.6069,115186.9279,116045.2776,117107.4687,118622.9451,120107.3405,121702.5454,123221.4471,124767.7434,126648.6688,128749.0739,130898.6628,132954.4971,135308.2244,137680.2286,139661.9221,140849.0226,142004.0737,143443.6395,145187.8841,147271.6664,149592.8648,151960.3308,154381.3676,156535.598,158859.6018,160541.0082,161524.3027,161701.5507,161776.3955,161855.6825,162084.2812,162094.1321,162122.6495,162161.1697,162330.2233,163290.6132,163978.1393,164387.56,164096.9526,164247.1875,164631.0429,165523.4765,166378.8212,167118.223,167972.3465
